SurveyYear,Park,Vegetation_Community,FxnGroup,Nativity,NofTransects,Average,StdDev,MinRange,MaxRange,Query_type
2015,CABR,Black Sage Scrub,Grass,Native,9,0.5555555555555556,0.8819171036881969,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Black Sage Scrub,Grass,Nonnative,9,0.2222222222222222,0.44095855184409843,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Black Sage Scrub,Herbaceous,Native,9,1.6666666666666667,1.5811388300841898,0,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Black Sage Scrub,Shrub,Native,9,5.111111111111112,1.2692955176439848,3,7.000000000000001,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Black Sage Scrub,Sub-shrub,Native,9,0.3333333333333333,0.5,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Black Sage Scrub,Vine,Native,9,0.5555555555555556,0.5270462766947299,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Black Sage Scrub,NA,NA,9,1.2222222222222223,0.44095855184409843,1,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,Grass,Native,10,0.5,0.7071067811865476,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,Grass,Nonnative,10,0.4,0.5163977794943222,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,Herbaceous,Native,10,1.6,1.2649110640673518,0,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,Herbaceous,Nonnative,10,0.1,0.31622776601683794,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,Shrub,Native,10,4.1,1.1972189997378648,2,6,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,Sub-shrub,Native,10,0.3,0.48304589153964794,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,Vine,Native,10,0.1,0.31622776601683794,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Brittle Bush Scrub,NA,NA,10,1.1,0.31622776601683794,1,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Desert-thorn Scrub,Grass,Nonnative,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Desert-thorn Scrub,Herbaceous,Native,1,3,NA,3,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Desert-thorn Scrub,Shrub,Native,1,4,NA,4,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Desert-thorn Scrub,Vine,Native,1,2,NA,2,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Desert-thorn Scrub,NA,NA,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - Black Sage Scrub,Grass,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - Black Sage Scrub,Herbaceous,Native,1,2,NA,2,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - Black Sage Scrub,Shrub,Native,1,3,NA,3,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - Black Sage Scrub,Vine,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - Black Sage Scrub,NA,NA,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - California Buckwheat Scrub,Grass,Native,3,1,1,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - California Buckwheat Scrub,Grass,Nonnative,3,0.6666666666666666,0.5773502691896257,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - California Buckwheat Scrub,Herbaceous,Native,3,1.6666666666666667,1.5275252316519468,0,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - California Buckwheat Scrub,Shrub,Native,3,4.333333333333333,0.5773502691896257,4,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush - California Buckwheat Scrub,NA,NA,3,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush Scrub,Grass,Native,3,1,1,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush Scrub,Grass,Nonnative,3,0.6666666666666666,0.5773502691896257,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush Scrub,Herbaceous,Native,3,2,2,0,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush Scrub,Shrub,Native,3,5,1,4,6,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush Scrub,Vine,Native,3,0.6666666666666666,0.5773502691896257,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,California Sagebrush Scrub,NA,NA,3,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Chamise - Mission Manzanita,Herbaceous,Native,2,3,2.8284271247461903,1,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Chamise - Mission Manzanita,Shrub,Native,2,7.5,0.7071067811865469,7.000000000000001,8,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Chamise - Mission Manzanita,Sub-shrub,Native,2,0.5,0.7071067811865476,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Chamise - Mission Manzanita,Vine,Native,2,0.5,0.7071067811865476,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Chamise - Mission Manzanita,NA,NA,2,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Clustered Tarplant Herbaceous,Grass,Native,2,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Clustered Tarplant Herbaceous,Grass,Nonnative,2,1.5,0.7071067811865476,1,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Clustered Tarplant Herbaceous,Herbaceous,Native,2,4,0,4,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Clustered Tarplant Herbaceous,Herbaceous,Nonnative,2,4,1.4142135623730951,3,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Clustered Tarplant Herbaceous,Shrub,Native,2,1.5,0.7071067811865476,1,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Clustered Tarplant Herbaceous,NA,NA,2,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Lemonade Berry Scrub,Grass,Native,4,0.25,0.5,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Lemonade Berry Scrub,Grass,Nonnative,4,0.25,0.5,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Lemonade Berry Scrub,Herbaceous,Native,4,1.75,0.9574271077563381,1,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Lemonade Berry Scrub,Shrub,Native,4,5,1.4142135623730951,3,6,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Lemonade Berry Scrub,Vine,Native,4,0.5,0.5773502691896257,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Lemonade Berry Scrub,NA,NA,4,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Quailbush Scrub,Grass,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Quailbush Scrub,Herbaceous,Nonnative,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Quailbush Scrub,Shrub,Native,1,5,NA,5,5,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Quailbush Scrub,Sub-shrub,Native,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,CABR,Quailbush Scrub,NA,NA,1,1,NA,1,1,"Annual Report, Absolute Cover (Fig. E2)"
