SurveyYear,Park,Vegetation_Community,FxnGroup,Nativity,NofTransects,Average,StdDev,MinRange,MaxRange,Query_type
2015,SAMO,Chamise Chaparral,Grass,Native,18,0.7222222222222222,0.8264420947336313,0,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,Grass,Nonnative,18,0.8888888888888888,1.0226199851298272,0,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,Herbaceous,Native,18,6.666666666666667,4.186814035123352,0,16,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,Herbaceous,Nonnative,18,1.5,1.3394467690277294,0,4,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,Shrub,Native,18,4.111111111111111,1.3672165321380643,2,7.000000000000001,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,Unknown,Nonnative,18,0.05555555555555555,0.23570226039551584,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,Vine,Native,18,0.16666666666666666,0.3834824944236852,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,Vine,Unknown,18,0.05555555555555555,0.23570226039551584,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chamise Chaparral,NA,NA,18,1.0555555555555556,0.23570226039551584,1,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,Grass,Native,20,0.45,0.7591546545162482,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,Grass,Nonnative,20,0.4,0.6805570473787206,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,Herbaceous,Native,20,4.625229357798165,3.2722561628656766,0,10,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,Herbaceous,Nonnative,20,0.5,0.8271701918685112,0,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,Shrub,Native,20,4.78348623853211,1.8894731653328167,2,8,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,Tree,Native,20,0.1,0.44721359549995793,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,Vine,Native,20,0.5458715596330275,0.601846492097125,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Chaparral,NA,NA,20,0.9958715596330275,0.01846294660320926,0.9174311926605505,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub,Grass,Native,14,1,0.8770580193070292,0,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub,Grass,Nonnative,14,0.5714285714285714,0.8516306272526402,0,2,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub,Herbaceous,Native,14,4.785714285714286,2.9659236835601988,2,10,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub,Herbaceous,Nonnative,14,0.8571428571428571,1.027105182026191,0,3,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub,Shrub,Native,14,5.142857142857143,1.8337495365063798,2,8,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub,Vine,Native,14,0.14285714285714285,0.36313651960128146,0,1,"Annual Report, Absolute Cover (Fig. E2)"
2015,SAMO,Coastal Sage Scrub,NA,NA,14,1,0,1,1,"Annual Report, Absolute Cover (Fig. E2)"
